setting,train_sampling_mode,unfreeze_scope,train_threshold,train_size,init_head,val_spearman_mean,val_spearman_std,val_spearman_count,val_pearson_mean,val_pearson_std,val_pearson_count,val_rmse_mean,val_rmse_std,val_rmse_count,val_r2_mean,val_r2_std,val_r2_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_r2_mean,test_r2_std,test_r2_count,best_epoch_mean,best_epoch_std,best_epoch_count,best_val_loss_standardized_mean,best_val_loss_standardized_std,best_val_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
B2_with_RC,hq_first,branched_only,1,161,HepG2,0.30516272772339326,0.006821139798979202,4,0.3508971246364117,0.0038953296163133587,4,0.3311626985669136,0.0006756982623463596,4,0.12314017227271624,0.0027310629795772937,4,0.2719175316126729,0.009281556346430063,4,0.3159156091659327,0.007764580493706296,4,0.2853950262069702,0.0013730131077971338,4,0.09984788864736478,0.004873783300744643,4,10.75,3.8622100754188224,4,1.3886310756206512,0.08432389661336921,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,161,K562,0.29205090608709283,0.014049556566609358,4,0.37280719648251465,0.018155311877912465,4,0.32860463857650757,0.0009993357644002682,4,0.13923241726119048,0.013820942131531929,4,0.2917091988195968,0.007358504845935522,4,0.3542097124420113,0.01375449090800555,4,0.2804930806159973,0.0022031821498833004,4,0.12560640990335614,0.009927268024447114,4,16.0,8.831760866327848,4,1.367329090833664,0.08496955061151885,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,161,SKNSH,0.3048206812965145,0.002775166199567723,4,0.3308792765697074,0.004856101744872616,4,0.3336770460009575,0.0007758390669463369,4,0.10949878195641033,0.0032305251520236473,4,0.2846098927191236,0.0007674077462823378,4,0.34448559744007146,0.009804961596258249,4,0.28099024295806885,0.0015952315624406842,4,0.11874242979757105,0.006843339309157111,4,15.5,9.255628917943215,4,1.410117745399475,0.09248925888539158,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,322,HepG2,0.3078162226087195,0.00953441602613336,4,0.3636843294956535,0.019431649144456532,4,0.32966767996549606,0.00193366344285765,4,0.132549483262058,0.01426108766939526,4,0.27425357078716733,0.013457415138181853,4,0.33656534273256733,0.030023035065916814,4,0.2823520451784134,0.00435613029163404,4,0.11395226690461746,0.020591022173899076,4,17.75,13.047988350699889,4,1.3201714158058167,0.04180182059873902,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,322,K562,0.30811570620303663,0.009572159034489582,4,0.38841780406825543,0.01604869692869594,4,0.3265732228755951,0.0018621457137648915,4,0.1510615610220375,0.012444097232225247,4,0.30424764134960464,0.00805935190261916,4,0.3733074835985013,0.015847695387181882,4,0.2776743918657303,0.0016410027927969211,4,0.139546839397459,0.011859535921904734,4,18.75,10.781929326423912,4,1.2955289781093597,0.04204189949964075,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,322,SKNSH,0.31757352170721886,0.013449836593697282,4,0.34243510224545676,0.017011312757342485,4,0.33212780207395554,0.002256510751199919,4,0.11747883782115251,0.01185570948046021,4,0.29343383103856935,0.012948524529048384,4,0.36197428419417743,0.02616664150890486,4,0.27866967767477036,0.0033328435524834768,4,0.1315389022637788,0.01930719774415978,4,18.25,9.7082439194738,4,1.3400968611240387,0.04866832893346327,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,643,HepG2,0.3163116847276273,0.010392878405080828,4,0.3886316598519083,0.004991351156832887,4,0.32579922676086426,0.0009466355499590644,4,0.15105325222902743,0.003891908979966464,4,0.32012703396506365,0.0025254370175595473,4,0.41518965667107416,0.009635839301934476,4,0.27215446531772614,0.001857108374489232,4,0.17245208805593398,0.007947586819704202,4,27.75,0.49999999999999967,4,1.152528077363968,0.03040983370303123,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,643,K562,0.32846980026286915,0.005973872865630608,4,0.40557576228623626,0.006823580367438297,4,0.32309824973344803,0.001148134726783578,4,0.1645266198908348,0.005554486614384985,4,0.32242011516594127,0.005410546257043895,4,0.4252689556299808,0.008180359072164526,4,0.2705439329147339,0.0014520451508564663,4,0.1809038733285267,0.00694827488142148,4,25.0,3.6514837167011076,4,1.1335138380527496,0.030872205698077398,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,643,SKNSH,0.333550430816441,0.002552050696212276,4,0.3808946782344593,0.0024332627500118385,4,0.3266783058643341,0.0003087897449171572,4,0.14508519648304025,0.001855452210868558,4,0.3092914580273571,0.009080628879001136,4,0.4248073209899017,0.010309004985322633,4,0.2703818678855896,0.0013993316661511847,4,0.18054096665445793,0.008766588233772911,4,27.75,0.9574271077563382,4,1.1586649417877197,0.02525773617471969,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,1125,HepG2,0.30901787057614943,0.011874570947778882,4,0.3917420212513826,0.010964171954466594,4,0.32552868872880936,0.001700935930346354,4,0.15355197101410403,0.008543584628863366,4,0.3284338711136763,0.008751470148317465,4,0.42560310798103285,0.011488292203425298,4,0.2707494869828224,0.00155082288995017,4,0.18123699116642816,0.009759138815678421,4,17.25,3.304037933599835,4,0.8538594543933868,0.017664281813660677,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,1125,K562,0.3297083082925505,0.007300189886574353,4,0.40921054842559795,0.004765311078952594,4,0.32394325733184814,0.000793163337529316,4,0.16747030408503805,0.003912584318872072,4,0.322389597510152,0.014426739479265946,4,0.4343462072501498,0.009877080932706757,4,0.26969488710165024,0.0013551368048385813,4,0.1887297952984035,0.00858809832866895,4,15.0,2.449489742783178,4,0.8455290794372559,0.014135789926176133,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,1125,SKNSH,0.325956650252201,0.009551915932364095,4,0.3886735635457014,0.012057416766589517,4,0.32611093670129776,0.0018049350285199816,4,0.15117617497362681,0.009386284171249329,4,0.3175910723738326,0.011822935020944943,4,0.44207491653188447,0.008382624614760761,4,0.2683619409799576,0.001555391701536497,4,0.1954829331232466,0.007408815203552596,4,20.75,4.5,4,0.8568773567676544,0.015193447533051832,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,1608,HepG2,0.32606214894790636,0.014069078842307922,4,0.396416277046477,0.005994933227196105,4,0.32538705319166183,0.0006765879149414695,4,0.15717281912568812,0.004735333670333305,4,0.3268827896082896,0.015791697326019854,4,0.4332734317467617,0.011606254959905216,4,0.2700252905488014,0.0017203950848527192,4,0.18782689552326148,0.010006659418558382,4,14.5,2.380476142847617,4,0.7711135298013687,0.02936098881992544,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,1608,K562,0.3292315682406062,0.0034614717113235004,4,0.41130060634481413,0.0035437733582596477,4,0.32356809079647064,0.0007794810512774569,4,0.1691776075268228,0.002922458141973541,4,0.3174344054496815,0.010794482528736401,4,0.4324621056497123,0.0057717252705382985,4,0.27028898894786835,0.001152733787565917,4,0.18704845743243187,0.005014463092370235,4,12.0,2.160246899469287,4,0.7624322324991226,0.026007027897267238,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,1608,SKNSH,0.332447956485792,0.00991588966379762,4,0.39688777477103415,0.007558388742278414,4,0.325286403298378,0.0010242837815103102,4,0.15756275269298767,0.006001234485830601,4,0.3244570962327003,0.005232098861392889,4,0.444040548801665,0.008533313992012416,4,0.26855745911598206,0.0011195744574509338,4,0.19722662206584857,0.007557891144762485,4,20.75,6.701989754294367,4,0.7705407589673996,0.025977022754461926,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,2411,HepG2,0.3305405815411275,0.00853713933221218,4,0.4008833873875748,0.004408936105229909,4,0.3248753994703293,0.000642478497138501,4,0.1607220693215214,0.0035340938783044525,4,0.32983753194515025,0.009502316152392528,4,0.4299564566022752,0.0056767294671726445,4,0.27083080261945724,0.0013056506314540145,4,0.18488672351706675,0.004883735781595154,4,9.0,0.816496580927726,4,0.7256245762109756,0.01120323386566708,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,2411,K562,0.3358946792297587,0.002842256292747372,4,0.41158311845937523,0.005362616292154063,4,0.32339267432689667,0.0008055866716463499,4,0.16942223164086676,0.004415510967967139,4,0.33017735712311536,0.012917664726990576,4,0.44244819885112385,0.0066264438666496445,4,0.26898178458213806,0.001707965005731926,4,0.195793340985342,0.005861364070212237,4,9.75,1.7078251276599332,4,0.7189885973930359,0.00854585893882629,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,2411,SKNSH,0.33825909422422107,0.004022149727854288,4,0.398486335302988,0.0024899283611221155,4,0.3251258507370949,0.000349289612241468,4,0.15879600923063802,0.0019835632699531924,4,0.3272910982431719,0.005233393844189784,4,0.4485824761119397,0.005110618626926697,4,0.26767798513174057,0.0005590834460996916,4,0.20124582669178137,0.0045843153232182415,4,11.75,1.2583057392117913,4,0.7267302423715591,0.00987519695708537,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,3215,HepG2,0.3383708139732359,0.0018994507860012689,4,0.4035744537436998,0.0013589383108615443,4,0.3247388079762459,0.00013704809008985462,4,0.16287372474952524,0.001098287340858419,4,0.34167184656378713,0.0020882906519062096,4,0.4364569366561084,0.0042407391961221666,4,0.26982681453227997,0.00044042320159537327,4,0.1905081454569314,0.0037042841685684166,4,7.5,0.5773502691896257,4,0.7000404298305511,0.0005909052483421524,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,3215,K562,0.3386860140075792,0.003484342883950733,4,0.41204090878732136,0.0036897884606578845,4,0.32364968955516815,0.0001661808219454744,4,0.16978792141844495,0.003032927303915255,4,0.3373996919580554,0.008000836904648215,4,0.4400247145425802,0.006501371155117355,4,0.26932960748672485,0.0011987150403857548,4,0.19365345027845166,0.0056851250623590685,4,7.0,0.8164965809277259,4,0.6953527331352234,0.0007142161175092678,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,1,3215,SKNSH,0.33525620031709935,0.005285093819607742,4,0.403497929693177,0.0027800586674731984,4,0.32489100098609924,0.000378332298624622,4,0.16281637581132596,0.0022454064798953606,4,0.3229594807115628,0.004049498745880814,4,0.4429145662754084,0.0032765389509448635,4,0.2688414007425308,0.0004607283578729088,4,0.1961813647995559,0.0029010290174230264,4,8.5,0.5773502691896257,4,0.7006973922252655,0.001632152136960774,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,108,HepG2,0.30750770192626375,0.0034451684018173257,4,0.35284584824155213,0.0023233335635469985,4,0.33079127967357635,0.00018259329222169472,4,0.12450424103043606,0.001639728492782034,4,0.274042333251739,0.010452102030697597,4,0.3114436347979199,0.015306894374408412,4,0.28633809834718704,0.0020337110600568446,4,0.0971728634176821,0.009582799229307982,4,13.0,2.0,4,1.5412133038043976,0.09929121354444242,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,108,K562,0.29090447010564124,0.0060094120739194205,4,0.36603395587767273,0.006164189604161715,4,0.3288818746805191,0.0007258861527608505,4,0.13400935478056508,0.004547869954703285,4,0.2936597072094914,0.00414361719481513,4,0.350622961140017,0.005301086602601283,4,0.281135194003582,0.0011019920718295154,4,0.12295753701797006,0.0037254362437054806,4,15.75,0.9574271077563383,4,1.5232249796390533,0.09306468092777455,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,108,SKNSH,0.30535926116585965,0.0048002551211899355,4,0.3289226308039101,0.0029179723251805305,4,0.3338712304830551,0.0004976786091968979,4,0.10819648297683324,0.0019124744748184276,4,0.28469055172290614,0.004524764303920595,4,0.3402901297146043,0.005347635691235654,4,0.281486377120018,0.0009413668114413972,4,0.11581882028679685,0.0036291697192575184,4,14.5,2.3804761428476167,4,1.5697911083698273,0.09583924861329893,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,216,HepG2,0.3075537377207534,0.005143822374035685,4,0.35219507253485804,0.00317071743848942,4,0.3310556709766388,0.0009771874442505908,4,0.12404890920463998,0.0022261486780873804,4,0.2717945102324576,0.007754773147263494,4,0.3157845865241583,0.002806852609441632,4,0.2855576276779175,0.0006906938760496839,4,0.09972581390241196,0.0017763729485670036,4,7.0,1.8257418583505538,4,1.4541883766651154,0.10900655010303018,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,216,K562,0.2878043894280377,0.0026907226652403164,4,0.3687057139113199,0.0030425522440814794,4,0.3288188502192497,0.0006331047331155962,4,0.13595084631397455,0.0022347001015304187,4,0.29072741251596546,0.003061607382500338,4,0.35103178069882723,0.0031529312406096614,4,0.2810794487595558,0.0002901332738564005,4,0.12323076679214554,0.0022076205637458473,4,8.5,1.9148542155126762,4,1.434421718120575,0.10446417835195332,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,216,SKNSH,0.3080069414543438,0.0069441531059672695,4,0.330279587089008,0.007237254710634254,4,0.3336359038949013,0.0010415168424320726,4,0.10912388903949558,0.004820398471789618,4,0.2848146099457697,0.006234908171708036,4,0.3414972446184452,0.005690382847244881,4,0.28118712455034256,0.0009386348910714278,4,0.11664465342470139,0.003910476151352108,4,8.5,2.3804761428476167,4,1.4773812592029572,0.11803249785240166,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,431,HepG2,0.3094737699014746,0.010587477919841194,4,0.36970372093015075,0.023667582764331438,4,0.3284190446138382,0.0032317417851308585,4,0.13710095712502862,0.017496997488132188,4,0.2920431139944668,0.026315334199962577,4,0.35597068073896276,0.04838175440569732,4,0.279875747859478,0.00649266279582134,4,0.12847072116529046,0.034530052771213376,4,16.0,14.445299120013633,4,1.343737930059433,0.10433913820341122,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,431,K562,0.3211152191983759,0.02283252484704541,4,0.3985143035809409,0.02189770096823464,4,0.32494787871837616,0.002776289826852669,4,0.15917328213937298,0.017069263390809258,4,0.3213013101063433,0.01847509344917821,4,0.39985663109148617,0.031956035012813896,4,0.2741462290287018,0.004505197199006204,4,0.160651216558138,0.02460255934851513,4,21.0,11.633285577743433,4,1.316019892692566,0.11088923018062984,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,431,SKNSH,0.3234780789295109,0.013452912803359463,4,0.3671871227629847,0.02892208445601508,4,0.32924359291791916,0.0037251883729958433,4,0.13545374834991986,0.020825553640376682,4,0.29796831418338454,0.014279808957097236,4,0.39327482943338526,0.03748254815669354,4,0.2751687243580818,0.004369974829987692,4,0.15571879752809742,0.02839853438566477,4,22.75,12.5,4,1.3508647084236145,0.11248827340394542,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,754,HepG2,0.32495833506388266,0.006198623442130798,4,0.3926714885276231,0.0077440880833771816,4,0.32513491064310074,0.0012586738187291124,4,0.15423587607768158,0.00613261610893538,4,0.3276661760711776,0.0025081477912871136,4,0.4298729283017073,0.009626657835305374,4,0.26971712708473206,0.0012798941367689915,4,0.1848602388924933,0.008344999578557262,4,24.75,2.217355782608345,4,1.0756464004516602,0.047419875666385926,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,754,K562,0.33202974617706704,0.005400324193175379,4,0.40693913171757046,0.00342795042108893,4,0.32332098484039307,0.0008941377749598699,4,0.16560827005611722,0.0027916629861500604,4,0.3261859795065308,0.005938106085814984,4,0.4371845346834995,0.0054813018189548155,4,0.26868048310279846,0.0007377935272845567,4,0.1911528508686508,0.00478185164606251,4,21.75,1.2583057392117916,4,1.0636507868766785,0.04590895599919135,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,754,SKNSH,0.32789948520072915,0.003643480554249788,4,0.3864191097358951,0.004405338079984824,4,0.3259419798851013,0.0007307399000340927,4,0.14933428362178094,0.0034120990290311187,4,0.32050128231895075,0.002892236309487276,4,0.4446239563183946,0.003799202222101993,4,0.26768117398023605,0.0007271406429808237,4,0.197701287985365,0.0033756397978578767,4,27.25,2.8722813232690148,4,1.0809661149978638,0.04665944045799128,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,1078,HepG2,0.3386795947091344,0.012321088617110164,4,0.40060223372546766,0.0033200862608059514,4,0.3241128772497177,0.0008677937217622052,4,0.1604904168954186,0.002650020266809476,4,0.3343882861704677,0.012753420644107753,4,0.43459774881997426,0.019265720929518025,4,0.26901793479919434,0.0026440304557960553,4,0.18915357928159,0.01658309366068016,4,20.0,4.0824829046386295,4,0.926501452922821,0.04364094373966581,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,1078,K562,0.3411290734842947,0.0049324824186870305,4,0.40973314173097636,0.006155644160046247,4,0.3231036961078644,0.000884913154033582,4,0.16790966639900518,0.005022342521782212,4,0.3340822102207032,0.01472230926168965,4,0.4367677696429726,0.013652139326037222,4,0.2686852365732193,0.0020601388092004866,4,0.1909058702800299,0.012060932332204314,4,16.5,3.5118845842842465,4,0.9207764118909836,0.044298666711826924,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,1078,SKNSH,0.338313787651233,0.004582804050090661,4,0.3945625354338197,0.004567634671582714,4,0.32508594542741776,0.000652735472961289,4,0.155695241832834,0.0036123196187531057,4,0.3246937555671642,0.0072141826059911015,4,0.4462261311880028,0.013701410602736988,4,0.2675236016511917,0.001899541420048533,4,0.1992585566443913,0.012051211248140967,4,21.0,4.08248290463863,4,0.9319566339254379,0.0404841467137811,4,179761.0,0.0,4,179761.0,0.0,4
