setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,train_threshold,train_size,init_head,train_mae_mean,train_mae_std,train_mae_count,train_rmse_mean,train_rmse_std,train_rmse_count,train_pearson_mean,train_pearson_std,train_pearson_count,train_spearman_mean,train_spearman_std,train_spearman_count,train_r2_mean,train_r2_std,train_r2_count,train_pearson_sq_mean,train_pearson_sq_std,train_pearson_sq_count,train_loss_standardized_mean,train_loss_standardized_std,train_loss_standardized_count,val_mae_mean,val_mae_std,val_mae_count,val_rmse_mean,val_rmse_std,val_rmse_count,val_pearson_mean,val_pearson_std,val_pearson_count,val_spearman_mean,val_spearman_std,val_spearman_count,val_r2_mean,val_r2_std,val_r2_count,val_pearson_sq_mean,val_pearson_sq_std,val_pearson_sq_count,val_loss_standardized_mean,val_loss_standardized_std,val_loss_standardized_count,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,best_epoch_mean,best_epoch_std,best_epoch_count,best_val_loss_standardized_mean,best_val_loss_standardized_std,best_val_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,161,HepG2,0.1976633332669735,0.011305514577889213,4,0.2693074345588684,0.008029312900086225,4,0.31499306936551724,0.08012816499748175,4,0.24809332354855154,0.10696245846439573,4,0.07552875344658819,0.0746703209778396,4,0.10403602586770731,0.053814412927116057,4,0.9187292009592056,0.07420644900014141,4,0.25182200968265533,0.0013600670137956957,4,0.3349587693810463,0.0012377975677648617,4,0.31835364248972664,0.011001910883087085,4,0.260054855176982,0.014165109877173378,4,0.10065419064879333,0.00663566642785505,4,0.10143982321878622,0.007115729463176113,4,1.420819103717804,0.09045704775000203,4,0.21913811191916466,0.003131250453446266,4,0.28811217844486237,0.004049838485190326,4,0.2833416582596413,0.030370738402563806,4,0.2400776491487774,0.017456122240178826,4,0.06888041004309584,0.026001267924298858,4,0.0809742816186611,0.018109461726456638,4,1.051505297422409,0.07619316445554766,4,31.25,24.62214450449026,4,1.420819103717804,0.09045704775000203,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,161,K562,0.19627268612384796,0.006695513774870416,4,0.2686336860060692,0.006445051247185086,4,0.30707357147192427,0.09570011875745514,4,0.23746087043760916,0.0725074057688797,4,0.07934870081810139,0.08428133449399913,4,0.10116306284416626,0.05844089383438426,4,0.9149329662322998,0.08375783410705483,4,0.2528458386659622,0.0020857449206449176,4,0.333868607878685,0.002016385635184382,4,0.3290913966531182,0.019419305118898802,4,0.23411503287696458,0.018944216303847402,4,0.10648340616781721,0.01077512414347634,4,0.10858397940957563,0.013041101124672116,4,1.4120619595050812,0.09974977286668758,4,0.21177935600280762,0.003612446086984455,4,0.2816568911075592,0.0036166204542261234,4,0.3386619425767903,0.02847604671086806,4,0.3021243350634365,0.026122962292757724,4,0.11015910297010603,0.02285037009972412,4,0.11530007527709486,0.01928626815753471,4,1.0057816356420517,0.08661730510034318,4,40.25,24.046829312822098,4,1.4120619595050812,0.09974977286668758,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,161,SKNSH,0.1980845034122467,0.00945659467219469,4,0.26982245594263077,0.00484654866228508,4,0.3021005095014393,0.07093765478064243,4,0.2053076067576163,0.10293371713237806,4,0.07225434005000625,0.0638941484675392,4,0.09503883099036241,0.04220693256971532,4,0.9219832718372345,0.06349723392196922,4,0.2524925544857979,0.0016006959740292382,4,0.33616428822278976,0.0018909511776133514,4,0.31096119278918516,0.012411279641937011,4,0.26577371395798816,0.008367941939262288,4,0.09415680555882022,0.01019166655161415,4,0.09681239331763555,0.007728071923514615,4,1.431638091802597,0.10253229111991069,4,0.21490154787898064,0.002070623264088593,4,0.2840902805328369,0.003070687825041031,4,0.31602874011373505,0.02184977049379083,4,0.25519865127811336,0.01158190984667447,4,0.09474963264580313,0.019588577166358253,4,0.10023222393084819,0.013834397512724994,4,1.0227925181388855,0.08043326383149572,4,33.75,23.371991785040485,4,1.431638091802597,0.10253229111991069,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,322,HepG2,0.20000100508332253,0.006904404059647624,4,0.27013396471738815,0.010525903124654958,4,0.34447845549750694,0.10308020898928853,4,0.24917485205338702,0.06910112213578988,4,0.10894960566786058,0.08490141891849712,4,0.1266345534159044,0.08052622243475642,4,0.8882831484079361,0.08463777192402812,4,0.25079815834760666,0.0036759305618827144,4,0.33342427760362625,0.004386380125098042,4,0.3309760799814866,0.0357916654089633,4,0.2668913328795055,0.02157166182453203,4,0.10876876816711928,0.02329384784271589,4,0.11050594800447179,0.024964214438016327,4,1.3509416282176971,0.06409167353487534,4,0.21687833964824677,0.006805442184996405,4,0.2857005298137665,0.008545164511679474,4,0.3037483615038554,0.06973083967143445,4,0.24976419606368938,0.03403224710895239,4,0.08392442495689581,0.053964966190953055,4,0.09590985961723933,0.047118097995597255,4,0.9929260760545731,0.0784979049251777,4,25.75,28.86029567878102,4,1.3509416282176971,0.06409167353487534,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,322,K562,0.19484981521964073,0.0074652559014630766,4,0.26253943890333176,0.009218188879980037,4,0.4038762154947151,0.09127076736112281,4,0.29705536079787065,0.04744668485333558,4,0.15865367780344838,0.07653452851968519,4,0.1693637621733497,0.0681355692472089,4,0.8387333899736404,0.0762968747717493,4,0.24873456358909607,0.0039004729077102003,4,0.32968514412641525,0.0038152760724832714,4,0.36606949205393824,0.03120837866192508,4,0.26779565996776766,0.030629495116856798,4,0.12867140357475293,0.020214708526806485,4,0.13473734518665792,0.022088111052293354,4,1.3207285702228546,0.059857129167592005,4,0.2062651626765728,0.005596913096368362,4,0.2747320160269737,0.006277457567053819,4,0.4012971847624123,0.0521514787162466,4,0.33043039857142165,0.027906600799102274,4,0.15315006572239728,0.03903296919605873,4,0.163079263047456,0.03939617707694188,4,0.9176522493362427,0.06083219318756843,4,53.5,27.718826333979823,4,1.3207285702228546,0.059857129167592005,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,322,SKNSH,0.19945107772946358,0.0048880797176691715,4,0.26978588849306107,0.007029997898114592,4,0.34824230328646516,0.0743477583411564,4,0.23908075214596186,0.04278602629781678,4,0.11241436681782391,0.058504814658517326,4,0.12541839367602864,0.053734796993323335,4,0.8848292082548141,0.05832313366689021,4,0.2503596358001232,0.0036222433556236428,4,0.33356404304504395,0.004423514914776628,4,0.3332690930373009,0.034506168755838194,4,0.27852474771572755,0.018039878282889915,4,0.10801957325220529,0.02362653673890097,4,0.11196129513555993,0.023158058417130176,4,1.3518979251384735,0.05945882378069402,4,0.21192456409335136,0.005228985028406641,4,0.2806524410843849,0.006615559803147588,4,0.34925898603639294,0.056841189906491174,4,0.26765864859283883,0.024443660760929777,4,0.11623558524986494,0.04158555893359869,4,0.12440502997965867,0.04002881903394789,4,0.9574458748102188,0.05928536452725893,4,40.75,32.62284475639732,4,1.3518979251384735,0.05945882378069402,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,643,HepG2,0.20187179371714592,0.0014932272681196003,4,0.27114640176296234,0.0025878376188702675,4,0.44925550655110424,0.012043909022443263,4,0.30884058546362037,0.00820173374551021,4,0.2006813910076922,0.01006980066832317,4,0.20193930197489496,0.010772950607065554,4,0.7980755120515823,0.010054134142722769,4,0.2434200532734394,0.0005852794919037307,4,0.3236532136797905,0.0004193094311539558,4,0.40188787419386185,0.0035696253235446393,4,0.3177876296252844,0.007471857799597873,4,0.16034678588870138,0.002175177786374377,4,0.1615234200927742,0.0028681209618252866,4,1.137267917394638,0.02242518874820721,4,0.20554789900779724,0.0017939580432499533,4,0.27100785076618195,0.0012201420656907682,4,0.42196995040160734,0.008808305537030972,4,0.29321096171132727,0.012686923666922593,4,0.1762636440867402,0.0074293163301550015,4,0.1781168287267602,0.007381019234825074,4,0.7973242253065109,0.012167252160679168,4,67.75,1.8929694486000928,4,1.137267917394638,0.02242518874820721,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,643,K562,0.20448289811611176,0.0010524642462327316,4,0.27444324642419815,0.002803062821638001,4,0.42866737742997896,0.017695688542994744,4,0.2805911622089674,0.012480446810619392,4,0.1810385005791609,0.017822004815007095,4,0.18399057351745407,0.01491680049926081,4,0.8176878243684769,0.017794256889370395,4,0.24420035630464554,0.0009147536266197251,4,0.32417868077754974,0.0006960964936370362,4,0.39917085402676133,0.0022228983950732055,4,0.2972741210743982,0.006744655983450315,4,0.15761623970091382,0.0036196756996625737,4,0.1593410766624101,0.0017743310711820209,4,1.1410261392593384,0.026570350505582235,4,0.20207520201802254,0.00043154653505463324,4,0.26907040923833847,0.00015872807063009296,4,0.43548824395834873,0.0023575827928863182,4,0.3234995202049057,0.00443579663131496,4,0.18801148776219975,0.0009583019435285726,4,0.18965417927339523,0.0020514757489524665,4,0.7860254496335983,0.015656060183591045,4,66.25,3.774917217635375,4,1.1410261392593384,0.026570350505582235,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,643,SKNSH,0.2070031836628914,0.0032397245948940978,4,0.2787844389677048,0.005366074774824798,4,0.39484156062757164,0.04688124528959042,4,0.26587058998039503,0.028478733838758707,4,0.15465565430569833,0.036618171959665664,4,0.15754824636874337,0.03593260411413321,4,0.8440296649932861,0.036561257976584605,4,0.2470969669520855,0.001525606097061991,4,0.3282240033149719,0.0023905760939140937,4,0.3699472839031074,0.01669379692541407,4,0.3082782312207449,0.004876942555280319,4,0.136429979782704,0.012573825575189412,4,0.13707000500912658,0.012350075405031769,4,1.1697478592395782,0.0331298916826164,4,0.2070840634405613,0.0028589544157125936,4,0.2730650156736374,0.0033815999932898444,4,0.4054674142087578,0.025909811708869912,4,0.2879941397687717,0.013064874862746826,4,0.16362702901875179,0.02075848615197046,4,0.1649073127422282,0.02066776427546954,4,0.8097380697727203,0.030265550112619163,4,57.75,16.17353805861084,4,1.1697478592395782,0.0331298916826164,4,179761.0,0.0,4,179761.0,0.0,4
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,1,1125,HepG2,0.2410898543894291,0.0023331621576430472,4,0.3184777647256851,0.0022119098408015176,4,0.4288528497966886,0.02133583415693524,4,0.3239642223122685,0.03333465564779917,4,0.18200908660021248,0.017336266817390745,4,0.18425618014312029,0.018055704339787912,4,0.8172638267278671,0.01732093883308954,4,0.2447492815554142,0.0005756951652261877,4,0.32510732114315033,0.0014946832819431992,4,0.3943022804054804,0.010373456669755112,4,0.3098690582361824,0.01756290843896711,4,0.15277262360026977,0.007797444468759331,4,0.15555499478542154,0.008133002862285238,4,0.8516098409891129,0.014511782638966684,4,0.2039414718747139,0.0015170520285445912,4,0.2696645259857178,0.0015003355424107884,4,0.43223971922647775,0.008816963319290598,4,0.3186025642193364,0.011199231051710164,4,0.18440299229225116,0.00905997432861775,4,0.1868894790086146,0.007689335452362442,4,0.5858717709779739,0.006146975176317269,4,46.0,2.160246899469288,4,0.8516098409891129,0.014511782638966684,4,179761.0,0.0,4,179761.0,0.0,4
