n,mae,rmse,r2,pearson,spearman,pearson_sq,init_head,seed,split_strategy,split_seed_effective,test_seed_effective
574,1.070328712463379,1.2143754959106445,-9.126776313795874,0.18357178626174825,0.14436265543778784,0.033698600711328984,K562,17,random_all_per_seed,717185,717185
574,1.0848278999328613,1.2255351543426514,-9.313752793416937,0.195468942248768,0.16610832167855552,0.038208107383852205,HepG2,17,random_all_per_seed,717185,717185
574,1.1325254440307617,1.275017261505127,-10.163421781952655,0.2028448287872602,0.17963579772074117,0.04114602456573291,SKNSH,17,random_all_per_seed,717185,717185
574,1.0926222801208496,1.2242050170898438,-9.282699285258435,0.23990918547790974,0.1880495263024713,0.0575564172766741,K562,23,random_all_per_seed,723239,723239
574,1.0808355808258057,1.2224994897842407,-9.254068037151898,0.22241561403690627,0.18680123035531668,0.04946870536741406,HepG2,23,random_all_per_seed,723239,723239
574,1.1157654523849487,1.2565670013427734,-9.833533448325737,0.2402036319591548,0.21791953982285647,0.0576977848063691,SKNSH,23,random_all_per_seed,723239,723239
574,1.0486518144607544,1.1757808923721313,-10.092612382018878,0.27948273017618325,0.23269829266494443,0.07811059646673325,K562,19,random_all_per_seed,719203,719203
574,1.0424714088439941,1.1746690273284912,-10.07164336372847,0.23895799262990725,0.20332829844394504,0.057100922241714806,HepG2,19,random_all_per_seed,719203,719203
574,1.0834252834320068,1.2179584503173828,-10.902715085586307,0.23746098018912196,0.2252521181179783,0.05638771711237857,SKNSH,19,random_all_per_seed,719203,719203
574,1.0777983665466309,1.1991459131240845,-9.641527340001392,0.229917670355093,0.22921557345541238,0.05286213514151321,K562,31,random_all_per_seed,731311,731311
574,1.079501748085022,1.2092524766921997,-9.821660163465953,0.20551211242248946,0.19537251416845838,0.042235228352353944,HepG2,31,random_all_per_seed,731311,731311
574,1.128712773323059,1.2694404125213623,-10.925718325963214,0.18004219101624183,0.15557005397815782,0.03241519054592891,SKNSH,31,random_all_per_seed,731311,731311
